title,body,image_path,Referrals,Referrals B/AA,Sessions,Sessions B/AA,clicks,impressions,reach
AFib Clinical Study Now Enrolling,Diagnosed with atrial fibrillation (AF)? Learn about a research study you may qualify to join.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628120480.jpg,1.0,0.0,15.0,0.0,268.0,35215.0,22098.0
AFib Clinical Study Now Enrolling,Loved one with Atrial Fibrillation? Learn about an AFib clinical study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628170480.jpg,35.0,4.0,219.0,7.0,6195.0,331717.0,202927.0
AFib Clinical Study Now Enrolling,Risk of atrial fibrillation is tied to race and ethnicity. Volunteers from diverse groups are needed to join an AFib medication study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,1.0,0.0,11.0,0.0,320.0,14191.0,10937.0
Find Out How To Take Part In AFib Research,Risk of atrial fibrillation is tied to race and ethnicity. Volunteers from diverse groups are needed to join an AFib medication study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,2.0,1.0,9.0,1.0,491.0,19821.0,14593.0
Heart skipping a beat?,Adults experiencing an irregular heartbeat may qualify for an AFib clinical study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,3.0,1.0,10.0,3.0,1170.0,56646.0,41272.0
Heart skipping a beat?,Had a stroke? On blood thinners for AFib? Find out about a clinical study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,1.0,0.0,7.0,0.0,589.0,23472.0,19526.0
Heart skipping a beat?,Irregular heartbeat? Learn about new AFib medical research.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,0.0,0.0,1.0,0.0,104.0,5586.0,5142.0
Heart skipping a beat?,Join this clinical study researching an investigational medication to see if it is helpful in reducing the risk of atrial fibrillation complications.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,0.0,0.0,3.0,0.0,153.0,5072.0,4612.0
Heart skipping a beat?,"Symptoms of atrial fibrillation? Join AFib research.

• All study assessments will be performed by expert doctors and staff.
• All investigational study medication provided at no cost.
• Study-required travel expenses may be reimbursed.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,0.0,0.0,1.0,0.0,142.0,9051.0,8168.0
Help AFib Medication Research,Risk of atrial fibrillation is tied to race and ethnicity. Volunteers from diverse groups are needed to join an AFib medication study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,1.0,1.0,6.0,2.0,435.0,14347.0,9562.0
